%time,field.header.sequence,field.header.idle_time,y,x,z
1.68846E+18,0,127,161.8055536,10.64945971,5.676506537
1.68846E+18,0,127,161.7732334,10.659169,5.643974258
1.68846E+18,0,136,162.1202858,10.76876528,5.609655791
1.68846E+18,0,136,162.1302565,10.76895128,5.580159854
1.68846E+18,0,133,162.1238017,10.75851865,5.554231928
1.68846E+18,0,133,162.2482205,10.8020885,5.542733115
1.68846E+18,0,135,162.3225473,10.91690937,5.554563135
1.68846E+18,0,128,162.301983,11.00933565,5.586133598
1.68846E+18,0,128,162.2766486,11.0604241,5.607639354
1.68846E+18,0,134,162.2694245,11.09122597,5.613993253
1.68846E+18,0,134,162.2769872,11.10167926,5.61707757
1.68846E+18,0,134,162.2902816,11.10192726,5.618024074
1.68846E+18,0,135,162.3080073,11.10225793,5.619366636
1.68846E+18,0,135,162.3248175,11.09225931,5.621819942
1.68846E+18,0,135,162.3403275,11.09254864,5.624374066
