%time,field.header.seq,field.header.stamp,x,y,z
1684310327380007648,7313,1684310327379244327,0.06544490356463939,0.4176972177810967,57.6501
1684310327430974656,7314,1684310327430531501,0.0685289140092209,0.41763921175152063,57.6575
1684310327477104640,7315,1684310327476762294,0.07371060753939673,0.4197583021596074,57.671
1684310327528502944,7316,1684310327528104543,0.0788506266544573,0.4196616252884269,57.6778
1684310327576059520,7317,1684310327575622081,0.08090663264738396,0.4196229539811611,57.6651
1684310327628824000,7318,1684310327628389835,0.07889230235014111,0.4218773925676942,57.6655
1684310327678120480,7319,1684310327677616596,0.08512283669551834,0.42508503003045917,57.6686
1684310327727900352,7320,1684310327727464675,0.08407399576390162,0.4239964825101197,57.6569
1684310327778820480,7321,1684310327778356313,0.08503948536235839,0.42065349593758583,57.637
1684310327828520576,7322,1684310327828019857,0.0942290032398887,0.41715582739561796,57.6386
1684310327876137184,7323,1684310327875301361,0.09819515311392024,0.40932330023497343,57.6468
1684310327928710528,7324,1684310327928390026,0.10839183762436733,0.40469841193407774,57.6663
1684310327980270464,7325,1684310327978170394,0.10520363796968013,0.3992169997654855,57.6812
1684310328025566272,7326,1684310328025188684,0.1111632818938233,0.38802215130999684,57.6846
1684310328078109696,7327,1684310328077720403,0.11615743493894115,0.380170289427042,57.6942
1684310328128051776,7328,1684310328127669811,0.11596989451209083,0.3701993371360004,57.679
1684310328175203584,7329,1684310328174822568,0.11987353092990816,0.3590431595221162,57.6809
1684310328227754048,7330,1684310328227405786,0.11460848490241915,0.3524925350211561,57.6812
1684310328283770784,7331,1684310328283433675,0.11345545487711206,0.345864568836987,57.6855
1684310328325911520,7332,1684310328325551986,0.10718324355548248,0.34044116269797087,57.6899
1684310328379615808,7333,1684310328379176378,0.10812789655756205,0.33599029341712594,57.6914
1684310328429738368,7334,1684310328429250955,0.10298787866486236,0.3360869702883065,57.6754
1684310328484148352,7335,1684310328480735778,0.09180486557306722,0.34294696152210236,57.6104
1684310328527977792,7336,1684310328527637720,0.0897280202480033,0.34187774872407317,57.6165
1684310328578054560,7337,1684310328577700138,0.09279119287384674,0.34071185858920217,57.6221
1684310328625170976,7338,1684310328624800920,0.091742352116853,0.3396233106032014,57.6239
1684310328677526560,7339,1684310328677177906,0.0948055248009041,0.3384574204683304,57.6232
1684310328727675456,7340,1684310328727352380,0.09176318987738341,0.34073119377717376,57.6233
1684310328778844672,7341,1684310328777441024,0.09073518554214388,0.34075052943080664,57.6362
1684310328827033216,7342,1684310328826679706,0.08867917815223336,0.3407891998067498,57.6237
1684310328877361728,7343,1684310328877088546,0.08970718242926523,0.34076986461877823,57.6285
1684310328927532000,7344,1684310328927227497,0.08970718242926523,0.34076986461877823,57.6241
1684310328977868928,7345,1684310328977546691,0.08349748596083373,0.33867010986432433,57.6233
1684310329027879456,7346,1684310329027572631,0.08347664802568033,0.3375622262246907,57.6267
1684310329077726496,7347,1684310329077431201,0.08553265413502231,0.3375235553830862,57.6202
