%time,field.header.seq,field.header.stamp,field.header.frame_id,field.sentence,UTC,longitude,latitude,altitude,,,,,,,,,,,,,,,,,
1684310325429853472,7274,1684310325429534196,gps,$KSXT,20230517080642.15,114.20852905,22.68993051,57.6286,295.96,7.57,106.12,0.068,,3,3,25,22,6.520,7.248,0.247,0.066,-0.019,0.158,,*19
1684310325478693440,7275,1684310325478361368,gps,$KSXT,20230517080642.20,114.20852907,22.68993050,57.6329,296.23,6.07,279.96,0.030,,3,3,25,22,6.522,7.247,0.252,-0.029,0.005,0.087,,*17
1684310325528782208,7276,1684310325528442859,gps,$KSXT,20230517080642.25,114.20852903,22.68993047,57.6273,296.82,8.84,224.41,0.110,,3,3,24,22,6.518,7.244,0.246,-0.077,-0.078,0.072,,*39
1684310325578558528,7277,1684310325578260898,gps,$KSXT,20230517080642.30,114.20852903,22.68993046,57.6414,297.30,8.19,193.84,0.133,,3,3,24,22,6.518,7.243,0.260,-0.032,-0.129,0.178,,*3C
1684310325628072672,7278,1684310325627624511,gps,$KSXT,20230517080642.35,114.20852902,22.68993047,57.6327,297.69,9.05,226.87,0.123,,3,3,24,22,6.516,7.243,0.251,-0.090,-0.084,0.137,,*38
1684310325677684608,7279,1684310325677361488,gps,$KSXT,20230517080642.40,114.20852906,22.68993044,57.6417,298.05,7.86,154.44,0.120,,3,3,24,22,6.521,7.241,0.260,0.052,-0.108,0.139,,*1F
1684310325727614944,7280,1684310325727125644,gps,$KSXT,20230517080642.45,114.20852904,22.68993049,57.6317,297.59,8.82,79.93,0.055,,3,3,24,22,6.519,7.245,0.250,0.054,0.010,-0.065,,*22
1684310325777404736,7281,1684310325777109146,gps,$KSXT,20230517080642.50,114.20852909,22.68993048,57.6397,298.02,7.23,65.57,0.217,,3,3,24,22,6.524,7.244,0.258,0.197,0.090,0.096,,*06
1684310325824772832,7282,1684310325824436187,gps,$KSXT,20230517080642.55,114.20852906,22.68993055,57.6367,297.63,7.67,9.46,0.318,,3,3,24,22,6.520,7.252,0.255,0.052,0.314,-0.090,,*11
1684310325874986208,7283,1684310325874576091,gps,$KSXT,20230517080642.60,114.20852901,22.68993063,57.6337,297.16,6.37,9.55,0.486,,3,3,24,22,6.516,7.261,0.252,0.081,0.479,-0.106,,*1A
1684310325927986944,7284,1684310325927612066,gps,$KSXT,20230517080642.65,114.20852901,22.68993072,57.6253,296.12,7.11,356.18,0.763,,3,3,24,22,6.516,7.272,0.244,-0.051,0.761,-0.210,,*3F
1684310325975140256,7285,1684310325974743604,gps,$KSXT,20230517080642.70,114.20852900,22.68993083,57.6192,295.25,5.37,346.88,1.020,,3,3,24,22,6.514,7.284,0.238,-0.231,0.993,-0.459,,*3E
