%time,field.header.seq,field.header.stamp,x,y,z
1684378341287103480,82,1684378341286787986,0.0,0.0,57.3389
1684378341338045368,83,1684378341337561845,0.0,0.0,57.3389
1684378341404067096,84,1684378341403782367,0.032485987816471606,0.08694276958703995,57.2444
1684378341439231736,85,1684378341438856124,0.032485987816471606,0.08694276958703995,57.2444
1684378341486253816,86,1684378341485974550,0.032485987816471606,0.08694276958703995,57.2444
1684378341539365880,87,1684378341538945198,0.032485987816471606,0.08694276958703995,57.2444
1684378341587397112,88,1684378341587100267,0.032485987816471606,0.08694276958703995,57.2444
1684378341637716760,89,1684378341637357234,0.032485987816471606,0.08694276958703995,57.2444
1684378341685148216,90,1684378341684714794,0.032485987816471606,0.08694276958703995,57.2444
1684378341738155928,91,1684378341737806797,0.032485987816471606,0.08694276958703995,57.2444
1684378341784847576,92,1684378341784553050,0.032485987816471606,0.08694276958703995,57.2444
1684378341837736600,93,1684378341837455272,0.032485987816471606,0.08694276958703995,57.2444
1684378341887761784,94,1684378341887417078,0.032485987816471606,0.08694276958703995,57.2444
1684378341937887800,95,1684378341937539339,0.032485987816471606,0.08694276958703995,57.2444
1684378341988077592,96,1684378341987692117,0.032485987816471606,0.08694276958703995,57.2444
1684378342037844664,97,1684378342037423849,0.032485987816471606,0.08694276958703995,57.2444
1684378342087742776,98,1684378342087383508,0.032485987816471606,0.08694276958703995,57.2444
1684378342137848152,99,1684378342137494802,0.032485987816471606,0.08694276958703995,57.2444
1684378342187797560,100,1684378342187440156,0.032485987816471606,0.08694276958703995,57.2444
1684378342237837624,101,1684378342237418651,0.032485987816471606,0.08694276958703995,57.2444
1684378342287910040,102,1684378342287548303,0.032485987816471606,0.08694276958703995,57.2444
1684378342338128600,103,1684378342337512493,0.032485987816471606,0.08694276958703995,57.2444
1684378342403812408,104,1684378342403440237,0.03904287493787706,0.16218217834830284,57.1584
1684378342439585848,105,1684378342439086198,0.03904287493787706,0.16218217834830284,57.1584
1684378342489124824,106,1684378342488839387,0.03904287493787706,0.16218217834830284,57.1584
1684378342536131832,107,1684378342535827159,0.03904287493787706,0.16218217834830284,57.1584
1684378342588388760,108,1684378342587628841,0.03904287493787706,0.16218217834830284,57.1584
1684378342634900920,109,1684378342634601354,0.03904287493787706,0.16218217834830284,57.1584
1684378342687934872,110,1684378342687544345,0.03904287493787706,0.16218217834830284,57.1584
1684378342736717304,111,1684378342736201763,0.03904287493787706,0.16218217834830284,57.1584
1684378342788008632,112,1684378342787478923,0.03904287493787706,0.16218217834830284,57.1584
1684378342837846648,113,1684378342837551593,0.03904287493787706,0.16218217834830284,57.1584
1684378342887901368,114,1684378342887521982,0.03904287493787706,0.16218217834830284,57.1584
1684378342935241944,115,1684378342934924840,0.03904287493787706,0.16218217834830284,57.1584
1684378342987863672,116,1684378342987438678,0.03904287493787706,0.16218217834830284,57.1584
1684378343037791384,117,1684378343037516117,0.03904287493787706,0.16218217834830284,57.1584
